station,component,PGA,PGV,CAV,AI,Ds575,Ds595,MMI,pSA_0.02,pSA_0.05,pSA_0.1,pSA_0.2,pSA_0.3,pSA_0.4,pSA_0.5,pSA_0.75,pSA_1.0,pSA_2.0,pSA_3.0,pSA_4.0,pSA_5.0,pSA_7.5,pSA_10.0
0102f77,geom,0.025433579459786415,8.745392799377441,0.18431860030408698,1.6906407006238378,8.294283991075853,23.828635076671702,5.83608341217041,0.025469887892993433,0.02602085636141029,0.027728494727650023,0.04071448889760268,0.0505433680334633,0.055464630301510554,0.05732264095439685,0.05075989353431916,0.051622404144213443,0.0319201309274512,0.02146985471502823,0.017008230245120312,0.01530919359707911,0.016193065488028176,0.013265523217717474
0102f78,geom,0.027958258986473083,13.094568252563477,0.20807530342812544,1.9942397340238673,14.27797572790769,22.46932525534591,6.416121006011963,0.02800079892350589,0.028229259877236346,0.0306946811976406,0.03398341701330251,0.061679503090101166,0.069524614074132,0.059760881033485,0.04833779986467301,0.05195209950660626,0.041838755004903895,0.026397435071244105,0.025679611711035,0.03231242968717639,0.026357167501314085,0.015092710604705064
0102f79,geom,0.024041475728154182,13.333800315856934,0.1866606378564793,1.6802931849748994,13.94200456572007,20.9698063973517,6.438753128051758,0.024102827932310986,0.02450501154869744,0.026983423821243024,0.04239296886094476,0.04114717919400874,0.04520778476273683,0.058440661789993964,0.03389041535622621,0.043847176131887516,0.03226136824603322,0.018621849446888508,0.027037603776557683,0.034615886185508336,0.02686176334305317,0.014547324494829294
010302f,geom,0.011598595418035984,5.908810138702393,0.10316639424799032,0.45058220906360275,11.453403168306657,31.661051470035467,5.305079936981201,0.01163141750687329,0.01172167374000899,0.013475339153246862,0.023162426137772536,0.023049577242399314,0.030732850086703872,0.03061931284195295,0.02324237423091646,0.02435553249950934,0.016724380776438272,0.008975444859175202,0.00967239015807657,0.014696024585936147,0.009803032506234181,0.00694926922698686
0103030,geom,0.015232381410896778,6.518306732177734,0.11307959000075885,0.5430216306775664,10.80265452484814,29.905241346971682,5.4502692222595215,0.01526585112663715,0.015698025977707544,0.017149141760465596,0.02319563772243552,0.03467583512912629,0.032284596697669914,0.029459774518212748,0.03472680728702093,0.025859683601208112,0.014123096626339959,0.008982386625792316,0.010750595770675376,0.014030790665969413,0.011441342048112358,0.009336098793131858
0103031,geom,0.015403566882014275,6.876518249511719,0.11361492084320063,0.5754006825392113,11.875566036846797,26.648112846036124,5.503693103790283,0.01543623549499874,0.01563889666788057,0.0173032570580187,0.025557810392345486,0.029809996296374743,0.030429016114623373,0.026863808507724296,0.02944247214883391,0.020274618720921355,0.01651753504226224,0.014492488485906552,0.013064963683739668,0.01724046957466005,0.013193857897194754,0.009259224296828093
0103032,geom,0.01592155359685421,7.402697563171387,0.1336200551059213,0.8559895384741179,10.221966314217418,25.113628208718982,5.576076984405518,0.01597224489334372,0.01660105744835192,0.020585082494500202,0.022413617092902252,0.032412257553495354,0.03853834422702633,0.03511393862999411,0.031575413868677946,0.036898090459828954,0.022308801003679567,0.015244535579610455,0.011974699798731238,0.013860572451553881,0.012628005982450672,0.011353724741481459
0103033,geom,0.012681960128247738,11.695226669311523,0.14242623046601768,0.9156026715860179,14.645019303918618,22.269547656611206,6.251711368560791,0.012720972995054656,0.01305017121192723,0.014774103918341178,0.025338828024055272,0.02911021609591926,0.03500606378300001,0.035658451922760265,0.028612486527493135,0.025675891005465468,0.02129437339292231,0.016975582029969308,0.01977488929713895,0.02660103313145008,0.024314843192316183,0.014595248139673375
0103034,geom,0.018838919699192047,12.597378730773926,0.17644746123524943,1.4379264550156494,15.373541050601213,20.69611813486257,6.361000061035156,0.018893675334522752,0.019102328047917994,0.022438260138969175,0.028416093904724913,0.028683458636435465,0.04555879697363231,0.04489993718100188,0.04153168047771685,0.0406400686919522,0.019048771429851803,0.020743739255028516,0.024035687406827516,0.03142971283503511,0.02570186379819813,0.014498551298257329
01030ec,geom,0.013260862790048122,5.180661201477051,0.10522144121124943,0.45240443948484577,12.04437393619951,31.777264747908436,5.155445098876953,0.013287442304214686,0.013435897683926733,0.015397189903263728,0.0180441623822392,0.022276019413173195,0.022792282900584656,0.023591625870853786,0.025676100648798925,0.023870376772641054,0.01569252137345639,0.011809225749629691,0.010113739298447087,0.014701077773785787,0.008192163373845315,0.005259027213064805
01030ed,geom,0.011598891578614712,7.1017069816589355,0.11156934097729351,0.4973618392646006,13.690671700870816,37.32792704814078,5.539398193359375,0.011630482378193521,0.0118383287878743,0.013464611880522052,0.017998178156188233,0.02825886310294506,0.025279513522379605,0.029613162693006016,0.021165379391537877,0.01821932925268805,0.01947626728683215,0.010162515728085396,0.012040450712760283,0.01625108523857707,0.01129688755999406,0.009517226694499519
01030ee,geom,0.011818616650998592,9.974845886230469,0.12737765403962764,0.6959189603169467,14.890519302160186,23.217352366339917,6.033794403076172,0.01187106042420117,0.012285530061380022,0.013784515271235987,0.02200397481369636,0.023853151262019673,0.027801314900636177,0.0313539809081975,0.02489076829784248,0.021873415707604288,0.018774126731887438,0.014229502037374806,0.01617351907608677,0.017607928481585287,0.020667225301826454,0.013918047369457273
01030ef,geom,0.01329287700355053,9.866020202636719,0.12419049544737196,0.7265911255390625,15.549478743395555,20.367591449537198,6.020100116729736,0.013340419190524887,0.01352096154275586,0.015528187090826148,0.02540463309190945,0.02729701349328451,0.02416710464720489,0.03893764046848278,0.022460090965994637,0.025209345530567858,0.01547667088586552,0.015326754531391408,0.018733934232425413,0.02382181334663439,0.019993435752877348,0.011785316801881135
01031a8,geom,0.011222484521567822,5.864923000335693,0.09283721714604619,0.3675799767854709,13.108369170824782,26.648916830767433,5.264259338378906,0.011231271267447574,0.011492726655293675,0.012633584785438103,0.01641613689411537,0.01898902734488577,0.024760677083001236,0.019462500155324285,0.025051131294239526,0.022292205437621452,0.012993840309396583,0.007904805668726974,0.009590394858630967,0.013693402238767223,0.011629775538723276,0.008868074902951455
01031a9,geom,0.010427775792777538,6.546838283538818,0.09227172703422289,0.3943291961316637,12.317526870988413,21.80336163871441,5.42312479019165,0.010436174998807314,0.010555242399456691,0.012575760920803855,0.015133934760409149,0.021300482082105974,0.02333569718792592,0.02560238315982803,0.02504799434117436,0.01800480179943368,0.00943426918539571,0.007739277192836607,0.009780320367222574,0.013897579439276555,0.011007249550979703,0.00871404253641435
01031aa,geom,0.015442397445440292,8.120585441589355,0.13752977227679913,0.8182176112012199,13.206210364958364,23.16118954240544,5.751851558685303,0.01548036153114607,0.01564259170011865,0.01861064556534138,0.02208993001059762,0.028610005032701932,0.03680451159446159,0.02860943893901146,0.049126183015141364,0.03913457563648157,0.024315916244710887,0.010216751135035862,0.010579883127095735,0.0161329507542486,0.0155914302019538,0.01088721137263211
042A,geom,0.024426717311143875,8.486348152160645,0.17579746060439805,1.5076601448299625,9.111307331491952,23.7487331196241,5.816823482513428,0.024461975577342063,0.024732488343152722,0.026437725457169537,0.039948446886043945,0.04377400839294176,0.05853209645601733,0.058141865293249516,0.04751173311265984,0.046902606918911904,0.036915112333112565,0.019635074141530224,0.013930826242806426,0.014476756378228223,0.012065048879899646,0.009679729134574242
049A,geom,0.07549694180488586,22.65009880065918,0.3697904469229096,9.446915853614914,6.329745114056709,13.094140572610947,7.17198371887207,0.07564916566840833,0.07762882760205851,0.10429203800615809,0.14689476464530238,0.13237148005167615,0.184034980053339,0.18676688293874952,0.19505889833852472,0.14505004513727318,0.04822622199795105,0.03519126887955551,0.028911664895690085,0.032702222383288855,0.03047631164791409,0.017479145587745114
051A,geom,0.027363689616322517,14.446087837219238,0.26550083984289596,2.9463785237513695,18.95917149907464,25.694463810060615,6.535419940948486,0.027434771129127265,0.028095730786642608,0.03063291682037033,0.04128006824450504,0.050176552201024134,0.043319701510649386,0.06065509057727179,0.061975947471864426,0.06510473130605907,0.03194229690685206,0.021523906920574657,0.025334000105947725,0.03907237189137326,0.04219800779044903,0.018781361676213023
052A,geom,0.03663729876279831,13.21488094329834,0.24891038146507158,3.3258956428139568,10.17438550342866,18.783026492781115,6.431502342224121,0.03673941231145189,0.03794471422872015,0.04500720101906264,0.06885713368727335,0.06349921173882304,0.0734071891311424,0.08454123686383422,0.07124526600517278,0.09851258082864016,0.042645284785688624,0.030241432918167756,0.025085812057295688,0.03351137470915288,0.027509680989558583,0.016337681188805533
053A,geom,0.02806198224425316,11.577256202697754,0.1864230597366062,1.7508251602036624,8.725976827619771,24.69447808193248,6.246452331542969,0.028164519261353636,0.02907896375231285,0.03596340817393859,0.05093823340329252,0.04612658042125887,0.050439910821208564,0.05653933378946455,0.04180263037071124,0.0412147924850509,0.03890798790167175,0.0178267168990773,0.015729118382730455,0.02310091054343638,0.02179257985825595,0.01359159423870503
054A,geom,0.5923231840133667,70.02729034423828,2.283584416728315,374.20332378019566,4.582960185411747,25.690004291489682,8.721044540405273,0.6098798259616846,0.976088375442587,1.0146199100001265,1.2150465092262341,1.0251600136186272,1.0603864928395854,1.0305787875345234,1.0193816712885635,1.2078239298872362,0.3208566418135092,0.17013378455957082,0.11287584874597487,0.07141320530549261,0.03935128753721846,0.02222457437763886
055A,geom,0.07926513254642487,26.686307907104492,0.46566402308951166,13.876887931025403,10.551445162774014,15.062707753171155,7.375625133514404,0.07987455154366482,0.08258235550794375,0.11159149279191961,0.1814155712197792,0.17898184121988675,0.17447017375320448,0.23681141508099754,0.13964761296525016,0.14035810135990537,0.06171865090708494,0.06016595215352808,0.06101143987110699,0.08273111603342116,0.05832635566200409,0.026618454048500866
057A,geom,0.15162885189056396,34.18741989135742,0.6321993122733536,30.835270247438686,9.691903621109102,14.914086966911661,7.713776588439941,0.15264483943276091,0.16951265809238716,0.1894768212384349,0.3274973193100347,0.3026305837730729,0.2568472653166113,0.3160474909247386,0.16837232435044946,0.15299983453916854,0.14496972711413833,0.05473008959661215,0.06042809354459625,0.08626289341787953,0.056529361932316904,0.029470044242867165
